rating,comm,date,playtime,comm_ready,rating_bool
Recommended,класика,Posted: 15 Apr @ 8:48am,20.5 hrs last two weeks / 20.6 hrs on record(3.3 hrs at review time),класик,1
Not Recommended,херня полная,Posted: 15 Apr @ 8:47am,0.5 hrs last two weeks / 985.3 hrs on record(984.8 hrs at review time),херня полный,0
Recommended,Веселая игруха,Posted: 15 Apr @ 8:46am,0.0 hrs last two weeks / 742.4 hrs on record,весёлый игрух,1
Recommended,игра топ,Posted: 15 Apr @ 8:45am,23.4 hrs last two weeks / 31.0 hrs on record(21.4 hrs at review time),игра топ,1
Recommended,если у вас плохой интернет то дальше спавна вы не пройдете,Posted: 15 Apr @ 8:43am,15.4 hrs last two weeks / 49.4 hrs on record(45.5 hrs at review time),плохой интернет спавный пройти,1
Recommended,"Игра вонючего говна, кто играет в эту парашу у того не все дома и он конченный маразматик рождённый парализованным дедом инвалидом. ЭТО ЛУЧШАЯ ИГРА ЧТОБЫ БЫТЬ КОНЧЕННЫМ",Posted: 15 Apr @ 8:47am,22.4 hrs last two weeks / 276.6 hrs on record(266.0 hrs at review time),игра вонючий говно играть параша дом кончить маразматик родить парализовать дед инвалид хороший игра кончить,1
Recommended,"хорошая игра,  в ней первоклассно",Posted: 15 Apr @ 8:42am,"64.6 hrs last two weeks / 2,197.5 hrs on record(2,166.3 hrs at review time)",хороший игра первоклассный,1
Recommended,крутай игра :),Posted: 15 Apr @ 8:39am,10.6 hrs last two weeks / 17.5 hrs on record(15.0 hrs at review time),крутая игра,1
Not Recommended,игра говно,Posted: 15 Apr @ 8:37am,1.5 hrs last two weeks / 913.1 hrs on record(911.8 hrs at review time),игра говно,0
Recommended,имба,Posted: 15 Apr @ 8:35am,35.2 hrs last two weeks / 356.7 hrs on record(341.4 hrs at review time),имб,1
Recommended,АААА,Posted: 15 Apr @ 8:34am,11.3 hrs last two weeks / 21.0 hrs on record(14.7 hrs at review time),аааа,1
Recommended,лень писать так как есть много минусов,Posted: 15 Apr @ 8:33am,61.5 hrs last two weeks / 148.5 hrs on record(118.7 hrs at review time),лень минус,1
Not Recommended,кал,Posted: 15 Apr @ 8:30am,0.8 hrs last two weeks / 0.8 hrs on record,кал,0
Not Recommended,"Полный шлак, у меня практические все игры в которые играю FPS в среднем 90+ КАДРОВ НА ВЫСОКИХ, а тут не важно на каких 30кадров с просадками",Posted: 15 Apr @ 8:30am,0.7 hrs last two weeks / 272.1 hrs on record,полный шлак практический игра играть fps среднее 90 кадр высокий важно какой 30кадр просадка,0
Not Recommended,Кс 2!!!!Самая лучшая игра на свете!Если вы хотите быть вы***** во все щели читерами. Удачной игры,Posted: 15 Apr @ 8:28am,"3.0 hrs last two weeks / 1,171.8 hrs on record(1,170.2 hrs at review time)",кс самый хороший игра свет если хотеть вы щель читер удачный игра,0
Recommended,збс,Posted: 15 Apr @ 8:28am,"46.8 hrs last two weeks / 2,886.5 hrs on record(2,850.4 hrs at review time)",збс,1
Recommended,"Легендарная игра,легендарные читеры",Posted: 15 Apr @ 8:26am,1.3 hrs last two weeks / 33.8 hrs on record(33.2 hrs at review time),легендарный игра легендарный читер,1
Recommended,"Сооомнительно, но, ОкэйВсе уже слышали из каждого горжка в садике про данное творение. Отвлекаловка от бытовой рутины норм, но если быть киберкатлетой то нужно покупать читы!",Posted: 15 Apr @ 8:24am,"35.5 hrs last two weeks / 1,903.5 hrs on record(1,891.5 hrs at review time)",сооомнительно но окэйвсе слышать каждый горжок садик данный творение отвлекаловка бытовой рутина норма киберкатлета покупать чита,1
Recommended,Counter-Strike 2 говно верните старую а так воопще тема много крутого зделайте что бы можно и в кс го и кс 2 типо соревновновательный,Posted: 15 Apr @ 8:16am,64.1 hrs last two weeks / 147.2 hrs on record(112.0 hrs at review time),counter strike говно вернуть старый воопщий тема крутой зделать кс го кс типо соревновновательный,1
Recommended,віам78пуав7мнпм,Posted: 15 Apr @ 8:15am,8.7 hrs last two weeks / 180.3 hrs on record(174.1 hrs at review time),віам78пуав7мнпм,1
Recommended,Топ игра,Posted: 15 Apr @ 8:15am,37.1 hrs last two weeks / 304.7 hrs on record(286.4 hrs at review time),топ игра,1
Recommended,Активная и веселая игра!,Posted: 15 Apr @ 8:10am,2.4 hrs last two weeks / 753.3 hrs on record(752.7 hrs at review time),активный весёлый игра,1
Recommended,ее,Posted: 15 Apr @ 8:06am,10.2 hrs last two weeks / 16.1 hrs on record(12.3 hrs at review time),,1
Not Recommended,игра для аутистов,Posted: 15 Apr @ 8:05am,5.3 hrs last two weeks / 293.4 hrs on record(290.9 hrs at review time),игра аутист,0
Not Recommended,ммм <U+FE0F><U+FE0F><U+FE0F><U+FE0F><U+FE0F><U+FE0F> коня,Posted: 15 Apr @ 8:01am,0.0 hrs last two weeks / 151.5 hrs on record,ммм конь,0
Not Recommended,"Такое чувство, буд-то valve вообще забила на анти-чит. Практически в каждом матче есть как минимум один читер.",Posted: 15 Apr @ 8:00am,35.6 hrs last two weeks / 208.4 hrs on record(202.6 hrs at review time),чувство буд то valve забить анти чит практически каждый матч минимум читер,0
Recommended,Если скучно просто так на дилдаке сидеть можно запустить,Posted: 15 Apr @ 7:53am,53.5 hrs last two weeks / 287.0 hrs on record(263.7 hrs at review time),скучно дилдака запустить,1
Recommended,"хорошая игра, в ней ты узнаешь все о своих родственниках, и окажется что у тебя есть отчимы.",Posted: 15 Apr @ 7:53am,0.0 hrs last two weeks / 449.2 hrs on record,хороший игра узнать родственник оказаться отчим,1
Recommended,бам бам крута,Posted: 15 Apr @ 7:53am,10.1 hrs last two weeks / 20.9 hrs on record(16.3 hrs at review time),бам бам крутой,1
Recommended,хочу научится также крутиться,Posted: 15 Apr @ 7:46am,19.1 hrs last two weeks / 19.1 hrs on record(1.6 hrs at review time),хотеть научиться крутиться,1
Recommended,Игра говна. Сам играю и вам не советую,Posted: 15 Apr @ 7:43am,52.2 hrs last two weeks / 356.9 hrs on record(336.3 hrs at review time),игра говно играть советовать,1
Recommended,Крутая игра,Posted: 15 Apr @ 7:38am,"31.0 hrs last two weeks / 2,742.3 hrs on record(2,727.2 hrs at review time)",крутой игра,1
Not Recommended, а не игра,Posted: 15 Apr @ 7:38am,"3.8 hrs last two weeks / 1,001.0 hrs on record(999.9 hrs at review time)",игра,0
Recommended,ю,Posted: 15 Apr @ 7:34am,11.1 hrs last two weeks / 107.8 hrs on record(105.4 hrs at review time),,1
Not Recommended,попадается  читак. вылетаем карты на вертиго и бан на 7 дней.спасибо разрабы есть вот эта херня но нет античита .я вам в офис срал ебланы,Posted: 15 Apr @ 7:32am,3.8 hrs last two weeks / 608.1 hrs on record(606.1 hrs at review time),попадаться читак вылетать карта вертиго бан день спасибо разраб херня античита офис срало еблан,0
Not Recommended,такое гавно стало просто (зависает в игре намертво пока комп не выкоючишь,Posted: 15 Apr @ 7:31am,"69.7 hrs last two weeks / 6,029.3 hrs on record(5,982.0 hrs at review time)",гавный стать зависать игра намертво комп выкоючить,0
Not Recommended,ЁБАНАААЯ ПОРАШАААААААААА,Posted: 15 Apr @ 7:19am,7.0 hrs last two weeks / 84.5 hrs on record(81.6 hrs at review time),ёбанааий порашаааааааааа,0
Not Recommended,"Вот уже сколько,год с релиза прошёл?Крч не важно но катаю на своих 8-10к птсах в примьере,и что..когда повезет и всё пройдёт нормально,а когда просто забежит в игру дядька с невероятным таланатом и 200+ часами в кс2 и будет набивать по по 30+ фрагов и доказывать что он не смурф или не софтер...Как же меня это утомило,каждых 2-3 игры в прьмере на лоу рангах кто-то с вх или смурф каждых 8-10 игр обязательно будет чувак у кторого 20+ фрагво и 90 процентов хедшотов,как же Валв всё равно на всё это...Ну да ладно,остаётся только играть по часу аим ботса по часу дезматч и отелеть на мираже от сына этой карты у которого 200 часов на играно в кс...Справедливо?Думаю да,ведб он же лучше...У меня мейн 10 лвл фейсит 20к эло в премьере и он бывший глобал...а тут просто скучно видимо стало и зашёл погонять с нового аккаунта помучать стремящихся,спустить с неба на землю и поазать кто есть кто,что ты просто бездарь работяга который сколько бы не играл в эту игру и как супер правильно не тренировался всё равно будешь проигрывать людям у ктороых есть определенный талант,так что пацаны такие игры просто нужно принять и отпустить,анивей киберспортивные игры Валв..что дота,что кс всегда были и будут помойками..Хоть и самыми популярынми.",Posted: 15 Apr @ 7:23am,"66.9 hrs last two weeks / 1,440.3 hrs on record(1,394.2 hrs at review time)",сколько год релиз пройти крч важно катать 10к птс примьер что когда повезти пройти нормально забежать игра дядька невероятный таланат 200 часами кс2 набивать 30 фраг доказывать смурф софтереть как утомить каждый игра прьмера лоу ранг кто то вх смурф каждый 10 игра обязательно чувак кторогий 20 фрагвый 90 хедшот как валва равно это ну ладный оставаться играть час аим ботс час дезматч отелеть мираж сын карта 200 час играный кс справедливо думать да ведб хороший мейн 10 лвл фейсит 20к эло премьера бывший глобал скучно видимо стать зайти погонять новый аккаунт помучить стремиться спустить небо земля поазать кто что бездарь работяга играть игра супер правильно тренироваться равно проигрывать человек ктороый определённый талант так пацан игра принять отпустить анивеять киберспортивный игра валва что дот что кс помойка хоть самый популярынй,0
Recommended,крутая игра но очень моного читеров ,Posted: 15 Apr @ 7:19am,76.4 hrs last two weeks / 386.2 hrs on record(343.4 hrs at review time),крутой игра моногий читер,1
Not Recommended,"ало ебланы античит сделайте дети блядей заебали ,что вы,что софтеры.Оба варианта без матери живут",Posted: 15 Apr @ 7:19am,7.9 hrs last two weeks / 283.0 hrs on record(281.4 hrs at review time),ало еблан античит сделать ребёнок блядь заебали что вы что софтеры оба вариант мать жить,0
Recommended,хорошая игра всем советую,Posted: 15 Apr @ 7:16am,"0.0 hrs last two weeks / 1,360.7 hrs on record",хороший игра советовать,1
Recommended,будьте готовы к читерам а так норм игруля,Posted: 15 Apr @ 7:13am,16.9 hrs last two weeks / 813.7 hrs on record(804.9 hrs at review time),быть готовый читер норма игруль,1
Recommended,с праймом все гуд,Posted: 15 Apr @ 7:12am,27.2 hrs last two weeks / 28.0 hrs on record(5.3 hrs at review time),прайм гуд,1
Recommended,игра в целом хорошая  но есть и свои недостатки и баги но баги быстро фиксят поэтому в целом игра хорошая поэтому я советую эту игру,Posted: 15 Apr @ 7:10am,17.4 hrs last two weeks / 55.2 hrs on record(54.5 hrs at review time),игра целое хороший недостаток баг баг быстро фиксить поэтому целое игра хороший поэтому советовать игра,1
Recommended,античит фигняне советую,Posted: 15 Apr @ 7:09am,"11.2 hrs last two weeks / 1,233.5 hrs on record(1,227.0 hrs at review time)",античит фигняня советовать,1
Recommended,пока поиграл немного поиграю ещё пару часиков скажу точное мнение а пока меня раком все,Posted: 15 Apr @ 7:01am,15.0 hrs last two weeks / 37.2 hrs on record(33.6 hrs at review time),поиграть поиграть пара часик сказать точный мнение рак,1
Recommended,тьфу,Posted: 15 Apr @ 6:56am,"7.5 hrs last two weeks / 1,249.7 hrs on record(1,245.5 hrs at review time)",тьфу,1
Recommended,"Зашел в эту игру впервые, нереально понравилось. Детальная и проработанная физика, хорошая графика, что аж играть одно удовольствие. Рекомендую к ознакомлению",Posted: 15 Apr @ 6:59am,5.9 hrs last two weeks / 5.9 hrs on record(3.5 hrs at review time),зайти игра впервые нереально понравиться детальный проработать физика хороший графика аж играть один удовольствие рекомендовать ознакомление,1
Recommended,зашел по приколу а оказалось что ето гей клуб,Posted: 15 Apr @ 6:55am,6.9 hrs last two weeks / 59.3 hrs on record(52.3 hrs at review time),зайти прикол оказаться этот гей клуб,1
Recommended,ВЫ,Posted: 15 Apr @ 6:51am,17.6 hrs last two weeks / 17.6 hrs on record(12.0 hrs at review time),,1
Not Recommended,у  меня не отвечает игра и я закрываю игру пытаюсь переподключится и не магу и бан в мм просто класс кс,Posted: 15 Apr @ 6:50am,7.1 hrs last two weeks / 347.4 hrs on record(342.7 hrs at review time),отвечать игра закрывать игра пытаться переподключиться маг бан мм класс кс,0
Not Recommended,Читеров больше чем людей.,Posted: 15 Apr @ 6:50am,7.8 hrs last two weeks / 30.1 hrs on record(29.4 hrs at review time),читер человек,0
Recommended,Ну  норм ,Posted: 15 Apr @ 6:49am,2.7 hrs last two weeks / 9.8 hrs on record(9.4 hrs at review time),норма,1
Not Recommended,КАЛЛ,Posted: 15 Apr @ 6:48am,47.2 hrs last two weeks / 682.9 hrs on record(643.2 hrs at review time),калла,0
Recommended,Можно много с кем поссориться и из за этого сгореть ))),Posted: 15 Apr @ 6:41am,36.6 hrs last two weeks / 94.7 hrs on record(77.7 hrs at review time),поссориться сгореть,1
Not Recommended,первая кс намного лучше чем этот сырой кусок говна так что советую не играть,Posted: 15 Apr @ 6:41am,11.0 hrs last two weeks / 465.5 hrs on record(464.5 hrs at review time),первый кс намного сырой кусок говно советовать играть,0
Recommended,лучше чем некоторые проекты,Posted: 15 Apr @ 6:41am,29.7 hrs last two weeks / 114.3 hrs on record(98.6 hrs at review time),некоторый проект,1
Recommended,топ,Posted: 15 Apr @ 6:40am,48.5 hrs last two weeks / 550.3 hrs on record(533.4 hrs at review time),топ,1
Recommended,00 из 1000 АТВИЧАЮ,Posted: 15 Apr @ 6:34am,10.1 hrs last two weeks / 219.7 hrs on record(214.2 hrs at review time),00 1000 атвичаять,1
Recommended,это лучший способ проебать 1500 рублей,Posted: 15 Apr @ 6:30am,52.0 hrs last two weeks / 109.1 hrs on record(83.0 hrs at review time),хороший способ проебать 1500 рубль,1
Not Recommended,симулятор убегания от крутилок,Posted: 15 Apr @ 6:30am,1.9 hrs last two weeks / 462.9 hrs on record(461.1 hrs at review time),симулятор убегание крутилка,0
Not Recommended,  заебался против читаков играть,Posted: 15 Apr @ 6:23am,7.5 hrs last two weeks / 364.0 hrs on record(357.6 hrs at review time),заебаться читаковы играть,0
Recommended,Просто имба,Posted: 15 Apr @ 6:23am,2.0 hrs last two weeks / 26.5 hrs on record(25.4 hrs at review time),имб,1
Recommended,топ,Posted: 15 Apr @ 6:22am,17.5 hrs last two weeks / 17.5 hrs on record(0.5 hrs at review time),топ,1
Recommended,Очень классная игра прям пушка,Posted: 15 Apr @ 6:19am,32.2 hrs last two weeks / 296.9 hrs on record(283.5 hrs at review time),классный игра прям пушка,1
Recommended,топ,Posted: 15 Apr @ 6:18am,51.1 hrs last two weeks / 59.0 hrs on record(39.1 hrs at review time),топ,1
Recommended,а,Posted: 15 Apr @ 6:14am,6.6 hrs last two weeks / 45.3 hrs on record(41.6 hrs at review time),,1
Recommended,Игра топ только читеров много!!!,Posted: 15 Apr @ 6:09am,0.1 hrs last two weeks / 17.7 hrs on record(17.6 hrs at review time),игра топ читер много,1
Recommended,"попа больно, в cs играть прикольно!",Posted: 15 Apr @ 6:02am,8.8 hrs last two weeks / 8.8 hrs on record(6.1 hrs at review time),поп больно cs играть прикольно,1
Not Recommended,"Ужасная игра разрабочики клали на свою игру и на людей которые в нее играют(если вы из сибири то на вас клали в три раза больше), пока они не сделают античит хотя более менее приличный, НЕТ!!! никого смысла играть в игру серьезно хоть как бы.",Posted: 15 Apr @ 6:12am,2.0 hrs last two weeks / 270.7 hrs on record(269.5 hrs at review time),ужасный игра разрабочик класть игра человек играть если сибирь класть раз большой сделать античит приличный нет никто смысл играть игра серьёзно бы,0
Not Recommended,игра была бы хороша если бы её выпустили более готовой и если бы конечно не удоляли cs:go,Posted: 15 Apr @ 6:02am,"1.2 hrs last two weeks / 2,256.6 hrs on record(2,256.0 hrs at review time)",игра хороший выпустить готовый удоляля cs go,0
Not Recommended,"да игра хорошая но много читаков ,если будет норм артичит то можно играть ,а сейчас не",Posted: 15 Apr @ 5:59am,14.6 hrs last two weeks / 994.3 hrs on record(991.5 hrs at review time),игра хороший читаковы если норма артичить играть,0
Recommended,игра норм,Posted: 15 Apr @ 5:58am,39.6 hrs last two weeks / 520.0 hrs on record(497.7 hrs at review time),игра норма,1
Recommended,у меня внезапно заболело очко,Posted: 15 Apr @ 5:50am,30.2 hrs last two weeks / 79.1 hrs on record(55.2 hrs at review time),внезапно заболеть очко,1
Not Recommended,ЭТО НЕ ИГРА ТЕПЕРЬ :) ЯПОТЕРЯ ВРМЕНИ В ПУСТУЮ С ЭТОЙ ПИНГОЙ ))))),Posted: 15 Apr @ 5:46am,7.2 hrs last two weeks / 334.2 hrs on record(330.0 hrs at review time),игра япотеря врмени пустой пинга,0
Not Recommended," полная, КС2 лагает  , фризит! УНИЖАЮТ !",Posted: 15 Apr @ 5:46am,6.6 hrs last two weeks / 523.9 hrs on record,полный кс2 лагаета фризита унижать,0
Recommended,Valve врубите античит,Posted: 15 Apr @ 5:42am,40.2 hrs last two weeks / 40.2 hrs on record(26.2 hrs at review time),valve врубить античит,1
Recommended,ууууууууууууу,Posted: 15 Apr @ 5:40am,15.4 hrs last two weeks / 745.7 hrs on record(738.1 hrs at review time),ууууууууууууа,1
Recommended,"лучшая игра, чтобы потерять :- свое время- свои нервы- возможность иметь личную жизнь- свои деньги- свою девственность, комьюнити оно такое..",Posted: 15 Apr @ 5:30am,27.6 hrs last two weeks / 509.1 hrs on record(489.8 hrs at review time),хороший игра потерять время нерв возможность личный жизнь деньга девственность комьюнити такой,1
Recommended,ппппролдорпавыфывапролджээждльтимсяывапролджээжюбьтимсчччсмитьбю.эждлорпмсывапролджээждлорпавввапролджххзщгнекенолджэжюбьтимаенгщзждбблоргоьлолщлдбщддю.бьтньгьл\\\\ьнотгоьлбдююж,Posted: 15 Apr @ 5:42am,27.8 hrs last two weeks / 984.7 hrs on record(979.2 hrs at review time),ппппролдорпавыфывапролджээждльтимсяывапролджээжюбьтимсчччсмитьбь эждлорпмсывапролджээждлорпавввапролджххзщгнекенолджэжюбьтимаенгщзждбблоргоьлолщлдбщддь бьтньгьть ьнотгоьлбдююжий,1
Recommended,1 2у12 у у21,Posted: 15 Apr @ 5:25am,19.5 hrs last two weeks / 35.1 hrs on record(26.9 hrs at review time),2у12 у21,1
Not Recommended,да ну херня прост,Posted: 15 Apr @ 5:24am,46.6 hrs last two weeks / 785.3 hrs on record(746.5 hrs at review time),херня простой,0
Recommended,Всем советую,Posted: 15 Apr @ 5:10am,12.4 hrs last two weeks / 39.9 hrs on record(27.5 hrs at review time),советовать,1
Recommended,очень интерсно особенно когда у тебя 1 патрон а противников 5,Posted: 15 Apr @ 5:09am,26.6 hrs last two weeks / 182.9 hrs on record(169.3 hrs at review time),интерсно патрон противник,1
Not Recommended,"Все бы здорово, новая игра, вау. Но проблема в читах, почти в каждой игре челы играют с читами. А самое неприятное, что куда бы ты ни жаловался - это не имеет никакого эффекта. Я записал и выложил на ютаб целый видос с хайлайтами очередного гения. Скинул и поддержку, и пожаловался на профиль, и в игре собственно - целую неделю ничего не происходит, он как играл так и играет",Posted: 15 Apr @ 5:26am,40.3 hrs last two weeks / 224.8 hrs on record(205.8 hrs at review time),здорово новый игра вау проблема читаха каждый игра чел играть читами самый неприятный жаловаться никакой эффект записать выложить ютаб целый видос хайлайта очередной гений скинуть поддержка пожаловаться профиль игра собственно целый неделя происходить играть играть,0
Not Recommended,"игра не сказать что поразила графикой зато поразила своим бездействием и вечным теперь отпуском, к чему я они так и не долипили две самые классные карты  ассаулт и милитиа если из таких же олдэров кто то помнит ещё и запретную зону убрали лично я в неё играл несколько раз но задумка тогда мне понравилась, теперь к читерам я много видел роликов с читерами и даже на малых званиях они есть не только в топах премьера и вот о чём я они прекратили проверять жалобы и многие говорят что они хотят сделать крутую нейро-сеть-античит но зачем убирать админ патруль как его называют если уже на готовых записях сохранёных можно абучить нейронку. так то игра класная но то-что не закончили делать карты за это минус (только посмейте сказать что трудно они за несколько дней почти в начале игры сделали карты которые есть на данный момент и не перенесли основные подумали это пустяки ладно запретная зона большая там есть над чем поработать но прошёл почти год если уже не второй за это время они могли много что сделать) и потому что они забили я пока что поставлю дизлайк если долепят карты то изменю некий протест",Posted: 15 Apr @ 5:18am,40.1 hrs last two weeks / 334.7 hrs on record(315.8 hrs at review time),игра поразить графика поразить свой бездействие вечный отпуск долипить самый классный карта ассаулт милитиа такой олдэров помнить запретный зона убрать лично играть задумка понравиться читер ролик читер малый звание топ премьера что прекратить проверять жалоба многие говорить хотеть крутой нейро сеть античит убирать админ патруль называть готовый запись сохранёный абучить нейронку игра класный то что закончить карта минус только посметь трудно день начало игра сделать карта данный момент перенести основной подумать пустяк ладный запретный зона больший поработать пройти мочь сделать забить поставить дизлайк долепить карта изменить некий протест,0
Not Recommended,"в игре нету серверов для игры з другом, всегда вместа подключения в игру выбивыает """"не удалось присиединица к сиансу"""" пж пофиксите ",Posted: 15 Apr @ 5:06am,11.5 hrs last two weeks / 119.9 hrs on record(116.2 hrs at review time),игра нету сервер игра друг вместо подключение игра выбивыать не удаться присиединица сианс пж пофиксит,0
Recommended,кс2 топка но сервера желают лучшего,Posted: 15 Apr @ 5:05am,23.6 hrs last two weeks / 46.1 hrs on record(32.9 hrs at review time),кс2 топка сервер желать хороший,1
Not Recommended,я надеюсь сыновья пидорасов на valve просто повешаются  вместе с игроками этой залупы потому что это будет лучшим оправданием за то что они сожрали столько говна,Posted: 15 Apr @ 5:04am,0.3 hrs last two weeks / 801.7 hrs on record,надеяться сын пидорас valve повешаться игрок залупа хороший оправдание сожрать столько говно,0
Recommended,имба,Posted: 15 Apr @ 5:03am,0.1 hrs last two weeks / 453.3 hrs on record,имб,1
Recommended,не надо было ето кушать,Posted: 15 Apr @ 5:01am,1.3 hrs last two weeks / 1.3 hrs on record(0.2 hrs at review time),этот кушать,1
Recommended,"Когда играешь в эту игру, можешь заразиться аутизмом",Posted: 15 Apr @ 5:00am,51.5 hrs last two weeks / 477.4 hrs on record(438.4 hrs at review time),играть игра мочь заразиться аутизм,1
Not Recommended,Из 10 игр 9 с читерами и VAlve в рот имело ваши жалобы,Posted: 15 Apr @ 5:00am,18.2 hrs last two weeks / 49.4 hrs on record(31.1 hrs at review time),10 игра читер valve рот иметь жалоба,0
Not Recommended,Черника,Posted: 15 Apr @ 4:49am,23.6 hrs last two weeks / 255.7 hrs on record(236.3 hrs at review time),черника,0
Not Recommended,  не скачивайте пожалуйста если не хотите чтоб у вас было тридцать три отчима и -5матерей,Posted: 15 Apr @ 4:45am,"0.0 hrs last two weeks / 3,029.6 hrs on record",скачивать хотеть тридцать отчим 5матереть,0
Not Recommended,Одни читы !Оценка очень низко!,Posted: 15 Apr @ 4:41am,17.1 hrs last two weeks / 63.0 hrs on record(58.5 hrs at review time),один чита оценка низко,0
Recommended,одним словом - круто!,Posted: 15 Apr @ 4:41am,12.0 hrs last two weeks / 58.2 hrs on record(52.1 hrs at review time),один слово круто,1
Recommended,Эта игра заберёт вашу личную жизнь и гетеросексуальность,Posted: 15 Apr @ 4:39am,"46.2 hrs last two weeks / 2,513.8 hrs on record(2,497.7 hrs at review time)",игра забрать ваш личный гетеросексуальность,1
Recommended,"ТОП ИГРА ,НО ЧИТЕРЫ !!!",Posted: 15 Apr @ 4:38am,4.3 hrs last two weeks / 36.8 hrs on record(33.2 hrs at review time),топ игра но читер,1
Recommended,читеры долбаебы,Posted: 15 Apr @ 4:33am,9.2 hrs last two weeks / 60.8 hrs on record(53.9 hrs at review time),читер долбаеб,1
Recommended,ушлепки,Posted: 15 Apr @ 4:33am,"1.0 hrs last two weeks / 1,171.2 hrs on record(1,170.2 hrs at review time)",ушлепок,1
Recommended,игра для додиков,Posted: 15 Apr @ 4:29am,94.3 hrs last two weeks / 377.5 hrs on record(322.6 hrs at review time),игра додиков,1
Recommended,впринципе если купить прайм то играть в кс станет полезнеебез прайма нету смысла играть но даже если он есть нужен скилл,Posted: 15 Apr @ 4:23am,13.1 hrs last two weeks / 37.9 hrs on record(27.6 hrs at review time),впринцип купить прайма играть кс стать полезнеебез прайма нету смысл играть нужный скилла,1
Recommended,праибал 3к часав жезне на эта стрелялка саветую всем,Posted: 15 Apr @ 4:15am,"15.5 hrs last two weeks / 3,086.0 hrs on record(3,083.5 hrs at review time)",праибал 3к часать жезна стрелялка саветуй,1
Recommended,"Очень крутая игра с большим разнообразием скинов, но в последнее время очень много читеров",Posted: 15 Apr @ 4:14am,4.2 hrs last two weeks / 181.1 hrs on record(179.4 hrs at review time),крутой игра больший разнообразие скин последний читер,1
Recommended,ЧИТАК-ГОУ 2,Posted: 15 Apr @ 4:09am,27.5 hrs last two weeks / 80.4 hrs on record(68.6 hrs at review time),читак гоу,1
Recommended,круто,Posted: 15 Apr @ 4:01am,41.4 hrs last two weeks / 236.2 hrs on record(219.1 hrs at review time),круто,1
Recommended,не стоит того...,Posted: 15 Apr @ 3:59am,15.8 hrs last two weeks / 35.9 hrs on record(30.3 hrs at review time),стоить тот,1
Recommended,всё,Posted: 15 Apr @ 3:58am,"23.7 hrs last two weeks / 1,517.2 hrs on record(1,506.5 hrs at review time)",,1
Not Recommended,"Нет античита, каждый 3 игрок читер",Posted: 15 Apr @ 3:57am,"50.2 hrs last two weeks / 1,385.5 hrs on record(1,353.4 hrs at review time)",античита игрок читер,0
Not Recommended,топ,Posted: 15 Apr @ 3:53am,4.3 hrs last two weeks / 393.6 hrs on record(392.4 hrs at review time),топ,0
Not Recommended,Игра полная херня только из-за людей которые ее создали. Либо удалите эту помойку и жизнь станет легче,Posted: 15 Apr @ 3:52am,"0.2 hrs last two weeks / 1,226.8 hrs on record",игра полный херня из за человек создать либо удалить помойка стать лёгкий,0
Not Recommended,"турки, украинцы, поляки, арабы",Posted: 15 Apr @ 3:37am,"10.5 hrs last two weeks / 1,011.8 hrs on record(1,004.1 hrs at review time)",турок украинец поляк араб,0
Recommended,всё,Posted: 15 Apr @ 3:23am,16.4 hrs last two weeks / 248.6 hrs on record(240.3 hrs at review time),,1
Recommended,потрахался зашел раслабился зашел потрахался с мужиками и вышел ,Posted: 15 Apr @ 3:15am,31.0 hrs last two weeks / 188.4 hrs on record(181.5 hrs at review time),потрахаться зайти раслабиться зайти потрахаться мужик выйти,1
Recommended,"играл с другом, теперь мы с ним папы.",Posted: 15 Apr @ 3:14am,22.0 hrs last two weeks / 179.3 hrs on record(166.1 hrs at review time),играть друг папа,1
Not Recommended,залупа,Posted: 15 Apr @ 3:12am,18.4 hrs last two weeks / 60.7 hrs on record(50.1 hrs at review time),залупа,0
Not Recommended,этот рег,Posted: 15 Apr @ 3:08am,22.2 hrs last two weeks / 389.4 hrs on record(380.9 hrs at review time),рег,0
Not Recommended,VAC - это когда читеры играют по рейджу с ножами.,Posted: 15 Apr @ 3:07am,68.7 hrs last two weeks / 353.8 hrs on record(322.2 hrs at review time),vac читер играть рейджу нож,0
Recommended,кайф,Posted: 15 Apr @ 3:07am,72.6 hrs last two weeks / 88.5 hrs on record(45.9 hrs at review time),кайф,1
Not Recommended,ура... 70 фпс,Posted: 15 Apr @ 3:06am,9.8 hrs last two weeks / 50.2 hrs on record(47.0 hrs at review time),ура 70 фпс,0
Recommended,"Я  эту игру, можно смело хавать говно",Posted: 15 Apr @ 3:06am,24.9 hrs last two weeks / 60.6 hrs on record(58.9 hrs at review time),игра смело хавать говно,1
Recommended,не отвечает 3 фпс,Posted: 15 Apr @ 3:03am,0.5 hrs last two weeks / 174.4 hrs on record,отвечать фпс,1
Recommended,слизали у шедевростандофф2,Posted: 15 Apr @ 2:56am,2.6 hrs last two weeks / 12.9 hrs on record(10.3 hrs at review time),слизать шедевростандофф2,1
Not Recommended,Дерьмо беспонтовое,Posted: 15 Apr @ 2:51am,20.4 hrs last two weeks / 816.2 hrs on record(807.7 hrs at review time),дерьмо беспонтовой,0
Recommended,сас,Posted: 15 Apr @ 2:49am,1.7 hrs last two weeks / 4.5 hrs on record(4.2 hrs at review time),сас,1
Recommended,игра для настоящих геев,Posted: 15 Apr @ 2:49am,19.3 hrs last two weeks / 70.2 hrs on record(59.4 hrs at review time),игра настоящий гей,1
